Track URI;Track Name;Album Name;Artist Name(s);Release Date;Duration (ms);Popularity;Explicit;Added By;Added At;Genres;Record Label;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time Signature
spotify:track:1vNNfTgHsrpOXeiaXQBlH7;Safe From Harm - 2012 Mix/Master;Blue Lines;"Massive Attack;Shara Nelson";10/06/1991;319000;63;FALSE;ingrify;20/03/2026 13:43;triphop,downtempo,acid jazz,britse r&b;Virgin Catalogue;677;83;6;-6604;0;469;438;312;766;842;82274;4
spotify:track:48rukEbJkzt2yUxAudbcZw;One Love - 2012 Mix/Master;Blue Lines;"Massive Attack;Horace Andy";10/06/1991;288373;46;FALSE;ingrify;20/03/2026 13:44;triphop,downtempo,roots reggae,dub,reggae,rocksteady,lovers rock,ragga;Virgin Catalogue;817;433;9;-10065;1;123;144;888;469;686;138413;4
spotify:track:4tVhBXOhSlqYCL2IjyoUNu;Blue Lines - 2012 Mix/Master;Blue Lines;"Massive Attack;Tricky";10/06/1991;261826;54;FALSE;ingrify;20/03/2026 13:44;triphop,downtempo;Virgin Catalogue;855;496;5;-10572;1;824;778;451;12;947;95494;4
spotify:track:7xpw5FSNYXKfdQSBuO0THv;Be Thankful For What You've Got - 2012 Mix/Master;Blue Lines;"Massive Attack;Tony Bryan";10/06/1991;249413;59;FALSE;ingrify;20/03/2026 13:44;triphop,downtempo;Virgin Catalogue;821;528;4;-11749;0;463;117;702;816;345;92128;4
spotify:track:4pQXPcVWTCa4Ve73Sw4G2q;Five Man Army - 2012 Mix/Master;Blue Lines;"Massive Attack;Horace Andy;Tricky";10/06/1991;364346;46;FALSE;ingrify;20/03/2026 13:44;triphop,downtempo,roots reggae,dub,reggae,rocksteady,lovers rock,ragga;Virgin Catalogue;629;697;6;-11293;1;765;949;235;118;844;162266;4
spotify:track:0j5FJJOmmnXPd0XajFWkMF;Unfinished Sympathy - 2012 Mix/Master;Blue Lines;"Massive Attack;Shara Nelson";10/06/1991;308426;69;FALSE;ingrify;20/03/2026 13:44;triphop,downtempo,acid jazz,britse r&b;Virgin Catalogue;592;835;7;-8475;1;32;393;209;665;703;114436;4
spotify:track:02XvknCqa2kPcOLdqD9h69;Daydreaming - 2012 Mix/Master;Blue Lines;"Massive Attack;Shara Nelson;Tricky";10/06/1991;254520;50;FALSE;ingrify;20/03/2026 13:44;triphop,downtempo,acid jazz,britse r&b;Virgin Catalogue;849;509;7;-1047;1;119;135;135;118;335;98345;4
spotify:track:5fJqDO9DG4kktfy19NrPcf;Lately - 2012 Mix/Master;Blue Lines;"Massive Attack;Shara Nelson";10/06/1991;266466;48;FALSE;ingrify;20/03/2026 13:44;triphop,downtempo,acid jazz,britse r&b;Virgin Catalogue;807;377;1;-11256;1;585;143;828;111;63;87224;4
spotify:track:3YfYFIV5DU5U9nfJN1Eujs;Hymn Of The Big Wheel - Remastered 2012;Blue Lines;"Massive Attack;Horace Andy";10/06/1991;381954;45;FALSE;ingrify;20/03/2026 13:44;triphop,downtempo,roots reggae,dub,reggae,rocksteady,lovers rock,ragga;Virgin Catalogue;619;515;5;-12188;0;181;527;858;105;715;19272;4
spotify:track:3kKVqFF4pv4EXeQe428zl2;Protection;Protection;"Massive Attack;Tracey Thorn";26/09/1994;471560;61;FALSE;ingrify;20/03/2026 13:45;triphop,downtempo;Circa;577;421;4;-13142;1;489;162;124;722;737;168009;4
spotify:track:5jKuwpmJwTX0f5Ztr4bVPb;Karmacoma;Protection;Massive Attack;20/03/1995;318080;55;FALSE;ingrify;20/03/2026 13:45;triphop,downtempo;UMC (Universal Music Catalogue);798;532;11;-14306;1;225;573;137;311;632;141052;4
