track_uri,track_name,album_name,artist_names,release_date,duration_ms,popularity,explicit,added_by,added_at,genres,record_label,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
spotify:track:1vNNfTgHsrpOXeiaXQBlH7,Safe From Harm - 2012 Mix/Master,Blue Lines,Massive Attack;Shara Nelson,10/06/1991,319000,63,FALSE,ingrify,20/03/2026 13:43,"triphop,downtempo,acid jazz,britse r&b",Virgin Catalogue,0.677,0.083,6,-6.604,0,0.469,0.438,0.312,0.766,0.842,82.274,4
spotify:track:48rukEbJkzt2yUxAudbcZw,One Love - 2012 Mix/Master,Blue Lines,Massive Attack;Horace Andy,10/06/1991,288373,46,FALSE,ingrify,20/03/2026 13:44,"triphop,downtempo,roots reggae,dub,reggae,rocksteady,lovers rock,ragga",Virgin Catalogue,0.817,0.433,9,-10.065,1,0.123,0.144,0.888,0.469,0.686,138.413,4
spotify:track:4tVhBXOhSlqYCL2IjyoUNu,Blue Lines - 2012 Mix/Master,Blue Lines,Massive Attack;Tricky,10/06/1991,261826,54,FALSE,ingrify,20/03/2026 13:44,"triphop,downtempo",Virgin Catalogue,0.855,0.496,5,-10.572,1,0.824,0.778,0.451,0.012,0.947,95.494,4
spotify:track:7xpw5FSNYXKfdQSBuO0THv,Be Thankful For What You've Got - 2012 Mix/Master,Blue Lines,Massive Attack;Tony Bryan,10/06/1991,249413,59,FALSE,ingrify,20/03/2026 13:44,"triphop,downtempo",Virgin Catalogue,0.821,0.528,4,-11.749,0,0.463,0.117,0.702,0.816,0.345,92.128,4
spotify:track:4pQXPcVWTCa4Ve73Sw4G2q,Five Man Army - 2012 Mix/Master,Blue Lines,Massive Attack;Horace Andy;Tricky,10/06/1991,364346,46,FALSE,ingrify,20/03/2026 13:44,"triphop,downtempo,roots reggae,dub,reggae,rocksteady,lovers rock,ragga",Virgin Catalogue,0.629,0.697,6,-11.293,1,0.765,0.949,0.235,0.118,0.844,162.266,4
spotify:track:0j5FJJOmmnXPd0XajFWkMF,Unfinished Sympathy - 2012 Mix/Master,Blue Lines,Massive Attack;Shara Nelson,10/06/1991,308426,69,FALSE,ingrify,20/03/2026 13:44,"triphop,downtempo,acid jazz,britse r&b",Virgin Catalogue,0.592,0.835,7,-8.475,1,0.032,0.393,0.209,0.665,0.703,114.436,4
spotify:track:02XvknCqa2kPcOLdqD9h69,Daydreaming - 2012 Mix/Master,Blue Lines,Massive Attack;Shara Nelson;Tricky,10/06/1991,254520,50,FALSE,ingrify,20/03/2026 13:44,"triphop,downtempo,acid jazz,britse r&b",Virgin Catalogue,0.849,0.509,7,-1.047,1,0.119,0.135,0.135,0.118,0.335,98.345,4
spotify:track:5fJqDO9DG4kktfy19NrPcf,Lately - 2012 Mix/Master,Blue Lines,Massive Attack;Shara Nelson,10/06/1991,266466,48,FALSE,ingrify,20/03/2026 13:44,"triphop,downtempo,acid jazz,britse r&b",Virgin Catalogue,0.807,0.377,1,-11.256,1,0.585,0.143,0.828,0.111,0.063,87.224,4
spotify:track:3YfYFIV5DU5U9nfJN1Eujs,Hymn Of The Big Wheel - Remastered 2012,Blue Lines,Massive Attack;Horace Andy,10/06/1991,381954,45,FALSE,ingrify,20/03/2026 13:44,"triphop,downtempo,roots reggae,dub,reggae,rocksteady,lovers rock,ragga",Virgin Catalogue,0.619,0.515,5,-12.188,0,0.181,0.527,0.858,0.105,0.715,19.272,4
spotify:track:3kKVqFF4pv4EXeQe428zl2,Protection,Protection,Massive Attack;Tracey Thorn,26/09/1994,471560,61,FALSE,ingrify,20/03/2026 13:45,"triphop,downtempo",Circa,0.577,0.421,4,-13.142,1,0.489,0.162,0.124,0.722,0.737,168.009,4
spotify:track:5jKuwpmJwTX0f5Ztr4bVPb,Karmacoma,Protection,Massive Attack,20/03/1995,318080,55,FALSE,ingrify,20/03/2026 13:45,"triphop,downtempo",UMC (Universal Music Catalogue),0.798,0.532,11,-14.306,1,0.225,0.573,0.137,0.311,0.632,141.052,4
spotify:track:7FKhuZtIPchBVNIhFnNL5W,Three,Protection,Massive Attack;Nicolette,26/09/1994,229066,53,FALSE,ingrify,20/03/2026 13:46,"triphop,downtempo",Circa,0.427,0.404,10,-18.492,0,0.618,0.655,0.349,0.863,0.803,217.927,4
spotify:track:4u5KFWcW1ptk0hJqp2lrCE,Weather Storm,Protection,Massive Attack;Craig Armstrong,26/09/1994,299960,51,FALSE,ingrify,20/03/2026 13:46,"triphop,downtempo",Circa,0.056,0.276,9,-17.552,0,0.404,0.396,0.863,0.105,0.245,83.179,4
spotify:track:6yzqdl5qv6BGu6BlRNWIDa,Spying Glass,Protection,Massive Attack;Horace Andy,26/09/1994,320973,45,FALSE,ingrify,20/03/2026 13:46,"triphop,downtempo,roots reggae,dub,reggae,rocksteady,lovers rock,ragga",Circa,0.734,0.454,8,-1.466,1,0.344,0.245,0.311,0.104,0.329,102.013,4
spotify:track:4orPBWfQNUxs3RObirJwZR,Better Things,Protection,Massive Attack;Tracey Thorn,26/09/1994,253933,57,FALSE,ingrify,20/03/2026 13:46,"triphop,downtempo",Circa,0.588,0.182,9,-16.192,0,0.567,0.337,0.294,0.741,0.523,122.574,3
spotify:track:5LrkJFmitzUrKZnt5iXl8A,Euro Child,Protection,Massive Attack;Tricky,26/09/1994,311160,45,FALSE,ingrify,20/03/2026 13:46,"triphop,downtempo",Circa,0.621,0.526,9,-1.456,1,0.076,0.115,0.809,0.109,0.267,159.947,4
spotify:track:7IdsIcmcti4v5VXkCJ3ou7,Sly,Protection,Massive Attack;Nicolette,26/09/1994,324640,49,FALSE,ingrify,20/03/2026 13:46,"triphop,downtempo",Circa,0.609,0.305,11,-15.148,0,0.278,0.264,0.623,0.366,0.326,90.042,4
spotify:track:1sMr77QrXyS9LRIhcCI2el,Heat Miser,Protection,Massive Attack,26/09/1994,219000,50,FALSE,ingrify,20/03/2026 13:46,"triphop,downtempo",Circa,0.621,0.382,0,-1.438,0,0.044,0.203,0.083,0.306,0.116,150.109,4
spotify:track:7uv632EkfwYhXoqf8rhYrg,Angel,Mezzanine,Massive Attack;Horace Andy,01/01/1998,379533,80,FALSE,ingrify,20/03/2026 13:47,"triphop,downtempo,roots reggae,dub,reggae,rocksteady,lovers rock,ragga",Circa,0.714,0.309,7,-10.796,1,0.291,0.157,0.807,0.777,0.671,107.346,4
spotify:track:6ggJ6MceyHGWtUg1KLp3M1,Risingson,Mezzanine,Massive Attack,01/01/1998,298826,60,FALSE,ingrify,20/03/2026 13:47,"triphop,downtempo",Circa,0.521,0.892,10,-6.905,0,0.115,0.242,0.681,0.667,0.299,164.049,4
spotify:track:67Hna13dNDkZvBpTXRIaOJ,Teardrop,Mezzanine,Massive Attack;Elizabeth Fraser,01/01/1998,330773,76,FALSE,ingrify,20/03/2026 13:47,"triphop,downtempo",Circa,0.615,0.419,11,-0.088,0,0.395,0.173,0.497,0.135,0.216,76.997,4
spotify:track:3N2UhXZI4Gf64Ku3cCjz2g,Inertia Creeps,Mezzanine,Massive Attack,01/01/1998,357133,59,FALSE,ingrify,20/03/2026 13:47,"triphop,downtempo",Circa,0.365,0.806,8,-8.948,1,0.849,0.518,0.052,0.135,0.388,167.383,4
spotify:track:2HuMQkNVpFIsur2cRWWQmX,Exchange,Mezzanine,Massive Attack,01/01/1998,251200,56,FALSE,ingrify,20/03/2026 13:47,"triphop,downtempo",Circa,0.705,0.021,5,-14.007,0,0.288,0.555,0.088,0.111,0.474,123.961,4
spotify:track:0oeEqyEAavgPfFxDYvjAP6,Dissolved Girl,Mezzanine,Massive Attack;Sarah Jay Hawley,01/01/1998,366893,62,FALSE,ingrify,20/03/2026 13:47,"triphop,downtempo",Circa,0.646,0.602,5,-11.316,0,0.281,0.351,0.819,0.635,0.662,131.994,4
spotify:track:2Tz5THgkMOQeaW6DlqAlIa,Man Next Door,Mezzanine,Massive Attack;Horace Andy,01/01/1998,356266,55,FALSE,ingrify,20/03/2026 13:48,"triphop,downtempo,roots reggae,dub,reggae,rocksteady,lovers rock,ragga",Circa,0.727,0.666,8,-9.777,1,0.334,0.371,0.128,0.157,0.564,129.995,4
spotify:track:1Rezzt36ybaT2ZbDZpv83D,Black Milk,Mezzanine,Massive Attack;Elizabeth Fraser,01/01/1998,381666,65,FALSE,ingrify,20/03/2026 13:48,"triphop,downtempo",Circa,0.056,0.455,1,-11.221,0,0.304,0.575,0.757,0.219,0.044,168.081,4
spotify:track:4IfHYniNBoAATWV6iLEXRs,Mezzanine,Mezzanine,Massive Attack,01/01/1998,356800,53,FALSE,ingrify,20/03/2026 13:48,"triphop,downtempo",Circa,0.648,0.586,9,-1.166,0,0.284,0.556,0.075,0.133,0.394,98.015,4
spotify:track:0pWrU4My52DJ75GnZKDlv8,Group Four,Mezzanine,Massive Attack;Elizabeth Fraser,01/01/1998,492266,52,FALSE,ingrify,20/03/2026 13:48,"triphop,downtempo",Circa,0.546,0.749,1,-8.345,0,0.371,0.109,0.378,0.854,0.136,95.304,4
spotify:track:2A5Cl0fxSJDGs7SC3fryhR,(Exchange),Mezzanine,Massive Attack;Horace Andy,01/01/1998,250866,49,FALSE,ingrify,20/03/2026 13:48,"triphop,downtempo,roots reggae,dub,reggae,rocksteady,lovers rock,ragga",Circa,0.599,0.021,1,-19.329,1,0.354,0.322,0.048,0.093,0.032,124.866,4
spotify:track:58KjQnB2w7MhTbBJ29geBC,Future Proof,100th Window,Massive Attack,10/02/2003,338600,44,FALSE,ingrify,20/03/2026 13:48,"triphop,downtempo",Virgin Records,0.254,0.455,1,-12.314,0,0.035,0.402,0.912,0.852,0.271,170.007,4
spotify:track:6EuGf9ZfK9CcSoq2M0SYto,What Your Soul Sings,100th Window,Massive Attack;Sinéad O'Connor,10/02/2003,398760,46,FALSE,ingrify,20/03/2026 13:48,"triphop,downtempo",Virgin Records,0.477,0.631,8,-10.503,1,0.461,0.232,0.599,0.584,0.713,14.604,4
spotify:track:7eeEtLXBHuAjXoPBYajQT2,Everywhen,100th Window,Massive Attack;Horace Andy,10/02/2003,459146,43,FALSE,ingrify,20/03/2026 13:48,"triphop,downtempo,roots reggae,dub,reggae,rocksteady,lovers rock,ragga",Virgin Records,0.489,0.506,7,-1.368,0,0.318,0.202,0.676,0.916,0.387,156.775,4
spotify:track:0l1eE11aDKxc8ZOYUSXWP9,Special Cases,100th Window,Massive Attack;Sinéad O'Connor,10/02/2003,309026,51,FALSE,ingrify,20/03/2026 13:48,"triphop,downtempo",Virgin Records,0.478,0.051,10,-9.238,0,0.316,0.405,0.646,0.657,0.135,143.044,4
spotify:track:22yxR09cYIuD8aeT3TfJlu,Butterfly Caught,100th Window,Massive Attack,10/02/2003,454680,44,FALSE,ingrify,20/03/2026 13:48,"triphop,downtempo",Virgin Records,0.221,0.056,0,-13.331,1,0.345,0.154,0.854,0.188,0.038,104.843,4
