track_uri,track_name,album_name,artist_names,release_date,duration_ms,popularity,explicit,added_by,added_at,genres,record_label,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
spotify:track:7uv632EkfwYhXoqf8rhYrg,Angel,Mezzanine,Massive Attack;Horace Andy,01/01/1998,379533,80,False,ingrify,20/03/2026 13:47,"triphop,downtempo,roots reggae,dub,reggae,rocksteady,lovers rock,ragga",Circa,0.714,0.309,7,-10.796,1,0.291,0.157,0.807,0.777,0.671,107.346,4
spotify:track:6ggJ6MceyHGWtUg1KLp3M1,Risingson,Mezzanine,Massive Attack,01/01/1998,298826,60,False,ingrify,20/03/2026 13:47,"triphop,downtempo",Circa,0.521,0.892,10,-6.905,0,0.115,0.242,0.681,0.667,0.299,164.049,4
spotify:track:67Hna13dNDkZvBpTXRIaOJ,Teardrop,Mezzanine,Massive Attack;Elizabeth Fraser,01/01/1998,330773,76,False,ingrify,20/03/2026 13:47,"triphop,downtempo",Circa,0.615,0.419,11,-0.088,0,0.395,0.173,0.497,0.135,0.216,76.997,4
spotify:track:3N2UhXZI4Gf64Ku3cCjz2g,Inertia Creeps,Mezzanine,Massive Attack,01/01/1998,357133,59,False,ingrify,20/03/2026 13:47,"triphop,downtempo",Circa,0.365,0.806,8,-8.948,1,0.849,0.518,0.052,0.135,0.388,167.383,4
spotify:track:2HuMQkNVpFIsur2cRWWQmX,Exchange,Mezzanine,Massive Attack,01/01/1998,251200,56,False,ingrify,20/03/2026 13:47,"triphop,downtempo",Circa,0.705,0.021,5,-14.007,0,0.288,0.555,0.088,0.111,0.474,123.961,4
spotify:track:0oeEqyEAavgPfFxDYvjAP6,Dissolved Girl,Mezzanine,Massive Attack;Sarah Jay Hawley,01/01/1998,366893,62,False,ingrify,20/03/2026 13:47,"triphop,downtempo",Circa,0.646,0.602,5,-11.316,0,0.281,0.351,0.819,0.635,0.662,131.994,4
spotify:track:2Tz5THgkMOQeaW6DlqAlIa,Man Next Door,Mezzanine,Massive Attack;Horace Andy,01/01/1998,356266,55,False,ingrify,20/03/2026 13:48,"triphop,downtempo,roots reggae,dub,reggae,rocksteady,lovers rock,ragga",Circa,0.727,0.666,8,-9.777,1,0.334,0.371,0.128,0.157,0.564,129.995,4
spotify:track:1Rezzt36ybaT2ZbDZpv83D,Black Milk,Mezzanine,Massive Attack;Elizabeth Fraser,01/01/1998,381666,65,False,ingrify,20/03/2026 13:48,"triphop,downtempo",Circa,0.056,0.455,1,-11.221,0,0.304,0.575,0.757,0.219,0.044,168.081,4
spotify:track:4IfHYniNBoAATWV6iLEXRs,Mezzanine,Mezzanine,Massive Attack,01/01/1998,356800,53,False,ingrify,20/03/2026 13:48,"triphop,downtempo",Circa,0.648,0.586,9,-1.166,0,0.284,0.556,0.075,0.133,0.394,98.015,4
spotify:track:0pWrU4My52DJ75GnZKDlv8,Group Four,Mezzanine,Massive Attack;Elizabeth Fraser,01/01/1998,492266,52,False,ingrify,20/03/2026 13:48,"triphop,downtempo",Circa,0.546,0.749,1,-8.345,0,0.371,0.109,0.378,0.854,0.136,95.304,4
spotify:track:2A5Cl0fxSJDGs7SC3fryhR,(Exchange),Mezzanine,Massive Attack;Horace Andy,01/01/1998,250866,49,False,ingrify,20/03/2026 13:48,"triphop,downtempo,roots reggae,dub,reggae,rocksteady,lovers rock,ragga",Circa,0.599,0.021,1,-19.329,1,0.354,0.322,0.048,0.093,0.032,124.866,4
